tournament_id,edition_year,year,team_id,team,team_code,confederation,group,coach,player_name,position,pos_code,jersey_number,date_of_birth,club,caps,goals,is_captain,is_final_squad,source_url,source_as_of
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Guillermo Martínez,forward,FW,,1995-03-15,UNAM,9,2,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Julián Quiñones,forward,FW,,1997-03-24,Al-Qadsiah,20,2,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Raúl Jiménez,forward,FW,,1991-05-05,Fulham,123,44,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Santiago Giménez,forward,FW,,2001-04-18,Milan,46,6,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Alex Padilla,goalkeeper,GK,,2003-09-01,Athletic Bilbao,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Carlos Acevedo,goalkeeper,GK,,1996-04-19,Santos Laguna,6,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Carlos Moreno,goalkeeper,GK,,1998-01-29,Pachuca,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Guillermo Ochoa,goalkeeper,GK,,1985-07-13,AEL Limassol,151,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,José Antonio Rodríguez,goalkeeper,GK,,1992-07-04,Tijuana,2,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Raúl Rangel,goalkeeper,GK,,2000-02-25,Guadalajara,11,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Alexis Gutiérrez,midfielder,MF,,2001-02-26,América,5,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Alexéi Domínguez,midfielder,MF,,2005-01-03,Pachuca,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Brian Gutiérrez,midfielder,MF,,2003-06-17,Guadalajara,5,1,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Carlos Rodríguez,midfielder,MF,,1997-01-03,Cruz Azul,67,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Diego Lainez,midfielder,MF,,2000-06-09,UANL,33,3,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Edson Álvarez,midfielder,MF,,1997-10-24,Fenerbahçe,95,7,TRUE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Efraín Álvarez,midfielder,MF,,2002-06-19,Guadalajara,7,1,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Elías Montiel,midfielder,MF,,2005-10-07,Pachuca,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Gilberto Mora,midfielder,MF,,2008-10-14,Tijuana,5,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Isaías Violante,midfielder,MF,,2003-10-20,América,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jeremy Márquez,midfielder,MF,,2000-06-21,Cruz Azul,0,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jesús Ricardo Angulo,midfielder,MF,,1997-02-20,Toluca,3,1,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jordán Carrillo,midfielder,MF,,2001-11-30,UNAM,2,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Jorge Ruvalcaba,midfielder,MF,,2001-07-23,New York Red Bulls,1,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Kevin Castañeda,midfielder,MF,,1999-10-28,Tijuana,2,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Luis Chávez,midfielder,MF,,1996-01-15,Dynamo Moscow,42,4,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Luis Romo,midfielder,MF,,1995-06-05,Guadalajara,60,4,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Marcel Ruiz,midfielder,MF,,2000-10-26,Toluca,17,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,MEX,Mexico,MEX,CONCACAF,A,Javier Aguirre,Obed Vargas,midfielder,MF,,2005-08-05,Atlético Madrid,5,0,FALSE,FALSE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
