tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
WC-2002,WC-2002_010,10,2002-06-03,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Mexico,MEX,MEX,CONCACAF,TRUE,0,1,loss,Niigata,Japan,TRUE,1881,1832,1847,1866,-34
WC-2002,WC-2002_025,25,2002-06-08,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Italy,ITA,ITA,UEFA,FALSE,2,1,win,Kashima,Japan,TRUE,1847,2023,1891,1979,44
WC-2002,WC-2002_042,42,2002-06-13,FIFA World Cup,played,Croatia,HRV,HRV,UEFA,Ecuador,ECU,ECU,CONMEBOL,FALSE,0,1,loss,Yokohama,Japan,TRUE,1891,1695,1846,1740,-45
,,,2002-08-21,Friendly,played,Croatia,HRV,HRV,UEFA,Wales,WAL,WAL,UEFA,TRUE,1,1,draw,Varaždin,Croatia,FALSE,1846,1581,1838,1589,-8
,,,2002-09-07,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Estonia,,,,TRUE,0,0,draw,Osijek,Croatia,FALSE,1838,1398,1820,1416,-18
,,,2002-10-12,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Bulgaria,BGR,BGR,UEFA,FALSE,0,2,loss,Sofia,Bulgaria,FALSE,1820,1719,1790,1749,-30
,,,2002-11-20,Friendly,played,Croatia,HRV,HRV,UEFA,Romania,ROU,ROU,UEFA,FALSE,1,0,win,Timişoara,Romania,FALSE,1790,1808,1803,1795,13
,,,2003-02-09,Friendly,played,Croatia,HRV,HRV,UEFA,North Macedonia,,,,TRUE,2,2,draw,Šibenik,Croatia,FALSE,1803,1464,1790,1477,-13
,,,2003-02-12,Friendly,played,Croatia,HRV,HRV,UEFA,Poland,POL,POL,UEFA,TRUE,0,0,draw,Split,Croatia,FALSE,1790,1709,1783,1716,-7
,,,2003-03-29,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Belgium,BEL,BEL,UEFA,TRUE,4,0,win,Zagreb,Croatia,FALSE,1783,1791,1811,1763,28
,,,2003-04-02,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Andorra,,,,TRUE,2,0,win,Varaždin,Croatia,FALSE,1811,1075,1811,1075,0
,,,2003-04-30,Friendly,played,Croatia,HRV,HRV,UEFA,Sweden,SWE,SWE,UEFA,FALSE,2,1,win,Solna,Sweden,FALSE,1811,1836,1824,1823,13
,,,2003-06-11,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Estonia,,,,FALSE,1,0,win,Tallinn,Estonia,FALSE,1824,1467,1831,1460,7
