date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
2000-04-08,FIFA World Cup qualification,played,Togo,TGO,Guinea-Bissau,,FALSE,0,0,draw,Bissau,Guinea-Bissau,FALSE,1392,1184,1386,1190,-6
2000-04-23,FIFA World Cup qualification,played,Togo,TGO,Guinea-Bissau,,TRUE,3,0,win,Lomé,Togo,FALSE,1386,1190,1397,1179,11
2000-06-04,Friendly,played,Togo,TGO,Benin,,FALSE,2,1,win,Cotonou,Benin,FALSE,1397,1242,1405,1234,8
2000-07-08,FIFA World Cup qualification,played,Togo,TGO,Zambia,,FALSE,0,2,loss,Lusaka,Zambia,FALSE,1405,1479,1389,1495,-16
2000-08-20,African Cup of Nations qualification,played,Togo,TGO,Sierra Leone,,FALSE,0,2,loss,Freetown,Sierra Leone,FALSE,1389,1340,1363,1366,-26
2000-09-03,African Cup of Nations qualification,played,Togo,TGO,Sierra Leone,,TRUE,2,0,win,Lomé,Togo,FALSE,1363,1366,1385,1344,22
2000-09-24,African Cup of Nations qualification,played,Togo,TGO,Senegal,SEN,FALSE,0,0,draw,Dakar,Senegal,FALSE,1385,1477,1395,1467,10
2000-10-08,African Cup of Nations qualification,played,Togo,TGO,Uganda,,TRUE,3,0,win,Lomé,Togo,FALSE,1395,1410,1422,1383,27
2001-01-07,Friendly,played,Togo,TGO,Burkina Faso,,TRUE,1,1,draw,Lomé,Togo,FALSE,1422,1415,1419,1418,-3
2001-01-28,FIFA World Cup qualification,played,Togo,TGO,Cameroon,CMR,TRUE,0,2,loss,Lomé,Togo,FALSE,1429,1722,1414,1737,-15
2001-02-23,FIFA World Cup qualification,played,Togo,TGO,Libya,,FALSE,3,3,draw,Benghazi,Libya,FALSE,1414,1415,1420,1409,6
2001-03-11,FIFA World Cup qualification,played,Togo,TGO,Angola,AGO,TRUE,1,1,draw,Lomé,Togo,FALSE,1420,1459,1417,1462,-3
2001-05-06,FIFA World Cup qualification,played,Togo,TGO,Zambia,,TRUE,3,2,win,Lomé,Togo,FALSE,1417,1450,1433,1434,16
2001-06-02,African Cup of Nations qualification,played,Togo,TGO,Uganda,,FALSE,3,0,win,Kampala,Uganda,FALSE,1433,1399,1475,1357,42
2001-06-17,African Cup of Nations qualification,played,Togo,TGO,Senegal,SEN,TRUE,1,0,win,Lomé,Togo,FALSE,1475,1527,1492,1510,17
2001-07-01,FIFA World Cup qualification,played,Togo,TGO,Cameroon,CMR,FALSE,0,2,loss,Yaoundé,Cameroon,FALSE,1492,1709,1484,1717,-8
2001-07-15,FIFA World Cup qualification,played,Togo,TGO,Libya,,TRUE,2,0,win,Lomé,Togo,FALSE,1484,1389,1499,1374,15
2001-07-29,FIFA World Cup qualification,played,Togo,TGO,Angola,AGO,FALSE,1,1,draw,Luanda,Angola,FALSE,1499,1519,1506,1512,7
2001-11-28,Friendly,played,Togo,TGO,Tunisia,TUN,FALSE,0,1,loss,Tunis,Tunisia,FALSE,1506,1670,1502,1674,-4
